num_stages,min_alt_freq,num_alt,max_alt_per_pathway,seed,num_strictly_consistent_patients,num_partially_consistent_patients,time_took_problem,time_took_other,avg_alterations_per_pathway,num_null_datasets,p1_value,effect_size
1,0,30,1,1,49,0,0.17143445898545906,16.8235687490087,1.0,1000,1.0,
1,0,30,2,2,73,0,0.19282870803726837,20.987238541943952,2.0,1000,0.001,3.3597694043731448
2,0,30,1,3,17,21,0.5547306249500252,12.603627250064164,1.0,1000,0.0,4.36353555082277
2,0,30,2,4,27,20,1.9810926669742912,14.468366958026309,2.0,1000,0.0,4.573748603087668
3,0,30,1,5,5,23,1.804596166999545,10.532328333007172,1.0,1000,0.0,4.401375481637026
3,0,30,2,6,10,18,7.278778458014131,9.687016209005378,2.0,1000,0.0,5.944140750782325
4,0,30,1,7,2,16,7.001517416967545,9.646033416036516,1.0,1000,0.0,9.327633127888367
4,0,30,2,8,4,8,70.90698016696842,9.600144374999218,2.0,1000,0.006,3.024389156339913
5,0,30,1,9,1,33,42.10080408299109,13.187292958027683,1.0,1000,0.027,3.8083400253214106
5,0,30,2,10,3,7,263.8546874159947,7.228509209002368,1.8,1000,0.0,8.85747708954492
