num_stages,min_alt_freq,num_alt,max_alt_per_pathway,seed,num_strictly_consistent_patients,num_partially_consistent_patients,time_took_problem,time_took_other,avg_alterations_per_pathway,num_null_datasets,p1_value,effect_size
1,3,22,3,1,81,0,0.2378334160312079,23.619452208979055,3.0,1000,0.003,3.057176731343921
1,3,22,5,2,89,0,0.2510556250344962,23.574871166958474,5.0,1000,0.0,4.716242016282526
1,3,22,None,3,90,0,0.4696946250041947,24.03264874999877,6.0,1000,0.0,4.1361435415663435
1,2,26,3,4,81,0,0.21818274998804554,21.395183666958474,3.0,1000,0.004,3.0410742464639426
1,2,26,5,5,89,0,0.41292104101739824,23.186064708977938,5.0,1000,0.0,4.7350859786641974
1,2,26,None,6,90,0,0.6079152079764754,22.44701675104443,6.0,1000,0.0,4.0621568599996
1,0,30,3,7,81,0,0.21287399996072054,24.48047095903894,3.0,1000,0.003,2.9964931623936972
1,0,30,5,8,89,0,0.37371233402518556,24.44849595800042,5.0,1000,0.0,5.002430765914646
1,0,30,None,9,90,0,0.44271345797460526,22.70961558399722,7.0,1000,0.0,3.573813521871947
2,3,22,3,10,35,18,3.9992757919826545,14.891783165978268,3.0,1000,0.0,4.447787088467733
2,3,22,5,11,39,12,13.660609957994893,18.051963875012007,5.0,1000,0.001,3.7004938849113924
2,3,22,None,12,39,21,24.01616279099835,16.101447375956923,6.0,1000,0.0,5.396423917086337
2,2,26,3,13,35,18,6.484368625038769,14.86995062493952,3.0,1000,0.0,4.400894743362662
2,2,26,5,14,39,14,15.445189958030824,14.63712491694605,5.0,1000,0.0,5.9720407038289505
2,2,26,None,15,41,21,22.92770424997434,17.14831837505335,7.5,1000,0.0,5.8088537805182225
2,0,30,3,16,35,18,7.382645583013073,18.50006737501826,3.0,1000,0.0,4.481710997538828
2,0,30,5,17,39,14,13.166714416991454,15.55230479099555,5.0,1000,0.0,5.738379359011443
2,0,30,None,18,42,23,23.17261349997716,19.555806791060604,8.0,1000,0.0,5.994263128670707
3,3,22,3,19,14,17,28.660865791956894,12.999706666043494,2.6666666666666665,1000,0.0,6.410549842974599
3,3,22,5,20,16,20,34.88353566703154,12.759418916946743,3.6666666666666665,1000,0.0,6.391163533974234
3,3,22,None,21,17,12,29.898597833991516,9.762926958035678,5.333333333333333,1000,0.0,7.2925114508774564
3,2,26,3,22,14,17,21.318639750010334,10.258569166006055,2.6666666666666665,1000,0.0,6.846378675127008
3,2,26,5,23,17,18,54.77938862500014,11.270190417009871,5.0,1000,0.0,7.536687557995285
3,2,26,None,24,18,12,31.27616437501274,9.857163209002465,6.333333333333333,1000,0.0,7.815693109976263
3,0,30,3,25,14,17,21.645119624969084,10.239867500029504,2.6666666666666665,1000,0.0,6.414163315426515
3,0,30,5,26,17,18,38.086722083971836,10.534569833020214,5.0,1000,0.0,7.498200725364252
3,0,30,None,27,18,22,49.54113679198781,11.635220500000287,5.0,1000,0.0,6.987831731786453
4,3,22,3,28,6,5,61.291301125020254,7.115324291982688,3.0,1000,0.0,5.481814640035514
4,3,22,5,29,8,3,83.06100154202431,7.138042624981608,4.0,1000,0.0,7.051877387073348
4,3,22,None,30,8,7,71.66990441601956,7.107662583934143,4.75,1000,0.0,8.361805719032555
4,2,26,3,31,6,6,73.37850704201264,7.526990624959581,3.0,1000,0.0,8.401203023903268
4,2,26,5,32,8,4,106.5871807920048,7.460720498987939,4.25,1000,0.0,7.6044605548978
4,2,26,None,33,8,8,80.51168358401628,7.847535250009969,5.0,1000,0.0,8.205457341269733
4,0,30,3,34,6,6,78.44275120802922,7.145624875964131,3.0,1000,0.0,6.097618436092732
4,0,30,5,35,8,4,121.01284670899622,8.144868041039445,4.25,1000,0.0,7.3601514812797095
4,0,30,None,36,8,8,117.96619900001679,9.624194207950495,4.75,1000,0.0,7.978610797167164
5,3,22,3,37,3,10,372.966069667018,8.694339082983788,2.2,1000,0.0,11.061547518115063
5,3,22,5,38,3,12,204.21972475002985,8.692320333968382,2.8,1000,0.0,6.541380713360105
5,3,22,None,39,3,13,259.34397862502374,9.870813874993473,2.8,1000,0.0,6.175298172033866
5,2,26,3,40,3,11,800.47237016703,9.82625199999893,2.4,1000,0.0,10.05704573107889
5,2,26,5,41,3,15,587.9551707089995,10.819312083011027,2.8,1000,0.0,6.504272487141798
5,2,26,None,42,3,16,325.8829111660016,11.704059667012189,3.0,1000,0.0,6.346446350363632
5,0,30,3,43,3,11,1038.221042916004,8.343615250953007,2.2,1000,0.0,9.76513264902662
5,0,30,5,44,3,15,330.94007070799125,11.11564700002782,3.2,1000,0.0,5.766917731104422
5,0,30,None,45,3,17,477.6297968340223,10.791801457991824,3.8,1000,0.0,5.5179326302886755
