num_stages,min_alt_freq,num_alt,max_alt_per_pathway,seed,num_strictly_consistent_patients,num_partially_consistent_patients,time_took_problem,time_took_other,avg_alterations_per_pathway,num_null_datasets,p1_value,effect_size
1,10,15,None,1,90,0,0.28640620899386704,22.566085332015064,6.0,1000,0.001,3.829606126759772
1,9,15,None,2,90,0,0.28115429199533537,22.947073874995112,6.0,1000,0.0,3.9831556542163957
1,8,15,None,3,90,0,0.33227462496142834,22.1604041250539,6.0,1000,0.0,4.1361435415663435
1,7,16,None,4,90,0,0.27747299999464303,22.96942558302544,6.0,1000,0.0,3.9034377071461024
1,6,16,None,5,90,0,0.2937110000057146,22.589788125013,6.0,1000,0.001,4.087040374360537
1,5,17,None,6,90,0,0.22760229103732854,22.341104083985556,6.0,1000,0.0,4.0621568599996
1,4,19,None,7,90,0,0.5101031659869477,22.62182204303099,6.0,1000,0.0,3.9892973110377734
2,10,15,None,8,37,14,5.9765876670135185,15.069614957959857,3.5,1000,0.0,4.094368412849704
2,9,15,None,9,37,14,5.596222041989677,14.390179958019871,3.5,1000,0.0,4.020402847640742
2,8,15,None,10,37,14,5.906325458956417,14.963391708035488,3.5,1000,0.0,3.856337621775457
2,7,16,None,11,37,14,6.987274584011175,14.801885499968193,3.5,1000,0.0,3.8655624467978047
2,6,16,None,12,37,14,6.823151415970642,14.483438418072183,3.5,1000,0.0,4.242735347419763
2,5,17,None,13,37,14,9.023875374987256,14.955664708977565,3.5,1000,0.0,4.036794653458663
2,4,19,None,14,37,25,12.663888333016075,16.16852949996246,5.5,1000,0.0,5.714135828128799
3,10,15,None,15,15,11,17.038198666996323,9.73583433299791,3.6666666666666665,1000,0.0,5.9455528601963525
3,9,15,None,16,15,11,16.76353699999163,9.85976900003152,3.6666666666666665,1000,0.0,5.969233979144203
3,8,15,None,17,15,11,16.414186375041027,9.609582332952414,3.6666666666666665,1000,0.0,5.899514880369369
3,7,16,None,18,15,18,25.380392167018726,10.837423000019044,3.3333333333333335,1000,0.0,6.583976943137492
3,6,16,None,19,15,18,25.38084441598039,10.984573292022105,3.3333333333333335,1000,0.0,6.576847203126207
3,5,17,None,20,15,20,24.603468791989144,11.30754958302714,3.3333333333333335,1000,0.0,6.574870117753143
3,4,19,None,21,17,12,24.09492995799519,10.110537375032436,5.333333333333333,1000,0.0,7.543239752234975
4,10,15,None,22,5,5,54.423604665964376,8.145898668037262,3.25,1000,0.0,5.605949346925464
4,9,15,None,23,5,5,57.876075999985915,9.658526333980262,3.25,1000,0.0,5.304693545007333
4,8,15,None,24,5,5,60.761494916980155,9.40371312503703,3.25,1000,0.0,5.559192315388589
4,7,16,None,25,5,14,92.39765941700898,19.639409665949643,3.25,1000,0.0,6.6492452712101064
4,6,16,None,26,5,14,65.3000922910287,11.636154834006447,3.25,1000,0.0,6.950886589807453
4,5,17,None,27,6,13,87.74969475000398,9.881433875008952,3.75,1000,0.0,7.808543348003142
4,4,19,None,28,7,8,74.34909387497464,8.108112165995408,4.25,1000,0.0,6.390730684561277
5,10,15,None,29,3,10,105.72659641696373,8.439221291046124,2.2,1000,0.0,9.238706753825827
5,9,15,None,30,3,10,97.9439632089925,7.642946957028471,2.2,1000,0.0,9.88072216162439
5,8,15,None,31,3,10,96.7490270420094,7.591036457975861,2.2,1000,0.0,9.27789875909431
5,7,16,None,32,3,10,119.03214520798065,8.3101219170494,2.2,1000,0.0,9.955688788457836
5,6,16,None,33,3,10,119.59200795798097,7.835116542002652,2.2,1000,0.0,9.432591379724604
5,5,17,None,34,3,11,146.7268471660209,9.705730000976473,2.6,1000,0.0,5.27892990560865
5,4,19,None,35,3,12,185.18582025001524,8.544204916979652,2.6,1000,0.0,9.036461008283343
