edges_traj,traj_occ_list,traj_alt_occ_list,traj_supp,traj_freq,traj_exp_ind,traj_var_ind,t_stat_ind,t_stat_norm_ind,pval_ind,traj_exp_perm,traj_var_perm,t_stat_perm,t_stat_norm_perm,pval_perm,traj_exp_topol,traj_var_topol,t_stat_topol,t_stat_norm_topol,pval_topol
[IDH1->-SRSF2],"[3, 10, 11, 13, 15, 17, 20, 24, 31, 33, 38, 40, 44, 45, 48, 53, 67, 70, 79, 81, 88, 89, 92, 95, 96, 102, 107, 108, 109, 110, 117, 118]","[3, 10, 11, 13, 15, 17, 20, 24, 30, 31, 33, 38, 40, 44, 45, 48, 53, 67, 70, 79, 81, 88, 89, 92, 95, 96, 102, 107, 108, 109, 110, 117, 118, 119]",32,0.2666666666666666,0.0844442554799697,0.0004743911610197,0.1822224111866969,8.366301178609516,5.959637177550826e-16,0.1222420634920634,0.0005458880542957,0.1444246031746031,6.1814361491153305,7.442991510306149e-11,,,,,
[SRSF2->-NRAS],"[3, 9, 11, 13, 19, 20, 25, 40, 45, 48, 59, 66, 76, 79, 88, 96, 102, 112, 118]","[3, 9, 11, 13, 19, 20, 25, 40, 45, 46, 48, 59, 66, 76, 79, 88, 96, 102, 104, 112, 118]",19,0.1583333333333333,0.0583790627362056,0.0003185783624151,0.0999542705971277,5.6000669166592845,6.227917239130762e-08,0.0773412698412698,0.0003488740866717,0.0809920634920634,4.336188044216218,9.23671275489905e-06,,,,,
[IDH2->-SRSF2],"[6, 9, 19, 25, 29, 30, 41, 50, 59, 63, 76, 85, 97, 99, 100, 112, 113, 115]","[6, 9, 19, 25, 29, 30, 41, 50, 59, 63, 76, 81, 85, 97, 99, 100, 104, 107, 112, 113, 115]",18,0.15,0.0524878590325018,0.0002982434054964,0.0975121409674981,5.646421140263063,1.159923553887288e-07,0.0738690476190476,0.000338669611363,0.0761309523809523,4.136882140572949,3.2223353630611196e-05,,,,,
[SRSF2->-KRAS],"[6, 9, 15, 17, 29, 53, 63, 96, 97, 110, 117, 118]","[6, 9, 15, 17, 29, 53, 63, 96, 97, 110, 117, 118]",12,0.1,0.0343840702947845,0.0001871581577618,0.0656159297052154,4.796284165485279,2.5885445731026783e-06,0.0464682539682539,0.0002047138762912,0.053531746031746,3.741431238421214,9.203714037698413e-05,,,,,
[IDH1->-NRAS SRSF2->-NRAS IDH1->-SRSF2],"[3, 11, 13, 20, 40, 45, 48, 79, 88, 96, 102, 118]","[3, 11, 13, 20, 40, 45, 48, 79, 88, 96, 102, 118]",12,0.1,0.0054818672839506,4.2920887315910305e-05,0.0945181327160493,14.427157977810806,3.516428755144033e-16,0.0145833333333333,0.0001025655864197,0.0854166666666666,8.434159030725972,4.8236334089767213e-11,,,,,
[IDH1-/-IDH2],"[4, 30, 43, 81, 98, 101, 107, 116]","[4, 30, 43, 81, 98, 101, 107, 116]",8,0.0666666666666666,0.0291712962962962,0.0001288558599108,0.0374953703703703,3.303129198877413,0.0009876543209876,0.0463888888888888,8.032407407407408e-05,0.0202777777777777,2.262546404914164,0.0296296296296296,,,,,
[IDH1->-KRAS SRSF2->-KRAS IDH1->-SRSF2],"[15, 17, 53, 96, 110, 117, 118]","[15, 17, 53, 96, 110, 117, 118]",7,0.0583333333333333,0.0027510485278767,2.168551190470007e-05,0.0555822848054565,11.935800631268746,3.046302295168508e-10,0.0076984126984126,5.471702569916856e-05,0.0506349206349206,6.8452433590313575,3.98050166568685e-07,,,,,
[IDH2->-NRAS IDH2->-SRSF2 SRSF2->-NRAS],"[9, 19, 25, 59, 76, 112]","[9, 19, 25, 59, 76, 104, 112]",6,0.05,0.0022655661735593,1.7856843265668915e-05,0.0477344338264406,11.296123515354145,6.605320699708453e-09,0.0056051587301587,4.026783745905771e-05,0.0443948412698412,6.99605723958499,1.148221634332745e-06,,,,,
[IDH2->-ASXL1],"[59, 78, 100, 104, 113]","[59, 78, 100, 104, 113]",5,0.0416666666666666,0.0123744331065759,7.062702710997475e-05,0.0292922335600907,3.485515555770781,0.0019047619047619,0.0170039682539682,7.858993134290754e-05,0.0246626984126984,2.782000075945294,0.0083333333333333,,,,,
[IDH2->-KRAS SRSF2->-KRAS IDH2->-SRSF2],"[6, 9, 29, 63, 97]","[6, 9, 29, 63, 97]",5,0.0416666666666666,0.0020495756172839,1.6194154460007526e-05,0.0396170910493827,9.844721730642982,2.511734825102881e-07,0.0061507936507936,4.318625598387504e-05,0.035515873015873,5.404427773820557,5.511463844797178e-05,,,,,
[SRSF2->-SETBP1],"[11, 58, 63, 104, 110]","[11, 13, 58, 63, 104, 110]",5,0.0416666666666666,0.0179257369614512,9.513703507669127e-05,0.0237409297052154,2.434013125280204,0.0243954081632653,0.0233531746031746,0.0001024466962711,0.018313492063492,1.809348337571652,0.0798363095238095,,,,,
[U2AF1->-SETBP1],"[61, 110, 111]","[61, 110, 111]",3,0.025,0.0088447184429327,4.742741037675988e-05,0.0161552815570672,2.3458477673570473,0.0437570861678004,0.0108531746031746,5.11349678760393e-05,0.0141468253968253,1.9783357526859031,0.0816798941798941,,,,,
[SRSF2->-ASXL1],"[82, 104, 110]","[59, 82, 100, 104, 110, 113]",3,0.025,0.0154321145124716,8.660081951691297e-05,0.0095678854875283,1.0281464206982172,0.269889195474108,0.020079365079365,9.531131897203326e-05,0.0049206349206349,0.5040213167238007,0.4599726001511716,,,,,
[SRSF2->-TP53],"[3, 66, 82]","[3, 66, 82]",3,0.025,0.0074560185185185,4.292244834533608e-05,0.0175439814814814,2.6778479689928054,0.0249999999999999,0.01,4.949845679012345e-05,0.015,2.1320403980151297,0.0625,,,,,
[IDH2->-EZH2],"[59, 76, 98]","[59, 76, 98]",3,0.025,0.0056198034769463,3.301216514152482e-05,0.0193801965230536,3.3730375206052896,0.0072562358276643,0.0071428571428571,3.771415973796926e-05,0.0178571428571428,2.9077680138805735,0.0158730158730158,,,,,
[IDH2->-STAG2],"[9, 23, 41]","[9, 23, 41, 94, 111]",3,0.025,0.012849537037037,7.198269783093279e-05,0.0121504629629629,1.4321178775726626,0.1709722222222222,0.0165873015873015,7.882968002015622e-05,0.0084126984126984,0.947524478225126,0.3103571428571429,,,,,
[NRAS->-EZH2],"[3, 47, 76]","[3, 47, 59, 76]",3,0.025,0.0100272108843537,5.615345457911056e-05,0.0149727891156462,1.9980873401181491,0.0788244897959183,0.0124206349206349,6.105520912068532e-05,0.012579365079365,1.609894289524766,0.1399404761904762,,,,,
[EZH2-/-TP53],"[3, 49, 56]","[3, 49, 56]",3,0.025,0.0063703703703703,3.492455418381344e-05,0.0186296296296296,3.152381610675401,0.0085333333333333,0.0088888888888888,3.626543209876543e-05,0.0161111111111111,2.6753405032837665,0.0199999999999999,,,,,
