edges_traj,traj_occ_list,traj_alt_occ_list,traj_supp,traj_freq,traj_exp_ind,traj_var_ind,t_stat_ind,t_stat_norm_ind,pval_ind,traj_exp_perm,traj_var_perm,t_stat_perm,t_stat_norm_perm,pval_perm,traj_exp_topol,traj_var_topol,t_stat_topol,t_stat_norm_topol,pval_topol
[IDH2->-SRSF2],"[1, 7, 9, 15, 18, 21, 27, 34, 38, 49, 50, 52, 55, 56, 58, 60, 61, 63, 72, 78, 80, 82, 88, 90, 91, 92, 94, 99, 103, 109, 117]","[1, 7, 9, 15, 18, 21, 27, 34, 38, 49, 50, 52, 55, 56, 58, 60, 61, 63, 72, 78, 80, 82, 88, 90, 91, 92, 94, 95, 99, 103, 104, 109, 117]",31,0.2583333333333333,0.0757708333333333,0.0004387573141718,0.1825625,8.715642132801568,1.5726938281251366e-16,0.1107539682539682,0.0005105426429831,0.1475793650793651,6.531450298778448,1.333278715757725e-11,,,,,
[IDH1->-SRSF2],"[3, 11, 19, 24, 25, 26, 28, 33, 35, 48, 53, 59, 67, 70, 71, 85, 93, 95, 100, 106, 112, 114]","[3, 11, 19, 21, 24, 25, 26, 28, 33, 34, 35, 48, 53, 55, 56, 59, 67, 70, 71, 85, 93, 95, 100, 106, 109, 112, 114]",22,0.1833333333333333,0.0573512849584278,0.0003403739192567,0.1259820483749055,6.828581980272074,5.312307526140815e-10,0.0878373015873015,0.0004091454868984,0.0954960317460317,4.721135255857367,2.64785014342589e-06,,,,,
[SRSF2->-KRAS],"[3, 7, 9, 11, 15, 25, 38, 48, 49, 50, 60, 61, 72, 80, 82, 88, 90, 100, 112, 114]","[3, 7, 9, 11, 15, 25, 38, 48, 49, 50, 60, 61, 72, 80, 82, 88, 90, 100, 112, 114]",20,0.1666666666666666,0.056125,0.0003084502314814,0.1105416666666666,6.294097382065785,3.129243850708006e-10,0.0761706349206349,0.0003399986615016,0.0904960317460317,4.907846059874839,1.3245476616753473e-07,,,,,
[SRSF2->-NRAS],"[1, 9, 19, 21, 26, 27, 34, 53, 58, 61, 63, 70, 72, 78, 82, 114, 117]","[1, 9, 19, 21, 26, 27, 34, 53, 58, 61, 63, 70, 72, 78, 82, 104, 114, 117]",17,0.1416666666666666,0.0479166666666666,0.0002680361689814,0.09375,5.726306309277669,3.6214995715353224e-08,0.0654761904761904,0.0002986985071806,0.0761904761904761,4.408432159064925,5.818548656645276e-06,,,,,
[IDH2->-KRAS SRSF2->-KRAS IDH2->-SRSF2],"[7, 9, 15, 38, 49, 50, 60, 61, 72, 80, 82, 88, 90]","[7, 9, 15, 38, 49, 50, 60, 61, 72, 80, 82, 88, 90]",13,0.1083333333333333,0.0047564429012345,3.774376573425117e-05,0.1035768904320987,16.859327789512523,1.3143357982572078e-18,0.014345238095238,0.0001020018424036,0.0939880952380952,9.306124110045962,1.6406916357063682e-12,,,,,
[IDH2->-NRAS],"[1, 9, 21, 27, 34, 44, 58, 61, 63, 72, 78, 82, 117]","[1, 9, 21, 27, 34, 44, 58, 61, 63, 72, 78, 82, 104, 117]",13,0.1083333333333333,0.0355277777777777,0.0002025296103395,0.0728055555555555,5.11587891222486,1.5300595098071626e-06,0.0496428571428571,0.0002299485071806,0.0586904761904761,3.870368674279841,9.65027582077753e-05,,,,,
[IDH2->-NRAS SRSF2->-NRAS IDH2->-SRSF2],"[1, 9, 21, 27, 34, 58, 61, 63, 72, 78, 82, 117]","[1, 9, 21, 27, 34, 58, 61, 63, 72, 78, 82, 104, 117]",12,0.1,0.0040543595679012,3.225963161966783e-05,0.0959456404320987,16.89256288048518,3.2450950858970466e-17,0.0121230158730158,8.723525289745527e-05,0.0878769841269841,9.408689395587032,1.0920853700170515e-11,,,,,
[IDH1-/-IDH2],"[4, 21, 34, 55, 56, 69, 95, 109]","[4, 21, 34, 55, 56, 69, 95, 109]",8,0.0666666666666666,0.0309027777777777,0.0001349906764403,0.0357638888888888,3.07817176439754,0.001929012345679,0.0486111111111111,9.066358024691358e-05,0.0180555555555555,1.8962448894726291,0.0617283950617283,,,,,
[IDH1->-KRAS SRSF2->-KRAS IDH1->-SRSF2],"[3, 11, 25, 48, 100, 112, 114]","[3, 11, 25, 48, 100, 112, 114]",7,0.0583333333333333,0.0027349922839506,2.1539527723896413e-05,0.0555983410493827,11.979639382367798,2.4005486968449935e-10,0.0075694444444444,5.381462191358024e-05,0.0507638888888888,6.919978389063006,3.125714449016917e-07,,,,,
[IDH1->-NRAS SRSF2->-NRAS IDH1->-SRSF2],"[19, 26, 53, 70, 114]","[19, 21, 26, 34, 53, 70, 114]",5,0.0416666666666666,0.0022527006172839,1.7894431152715857e-05,0.0394139660493827,9.317323822222551,1.1505315333236883e-06,0.0069444444444444,4.943094135802469e-05,0.0347222222222222,4.9386479832479475,0.0002682532793209,,,,,
