,edges_traj,traj_occ_list,traj_alt_occ_list,traj_supp,traj_freq,traj_exp_ind,traj_var_ind,t_stat_ind,t_stat_norm_ind,pval_ind,traj_exp_perm,traj_var_perm,t_stat_perm,t_stat_norm_perm,pval_perm,traj_exp_topol,traj_var_topol,t_stat_topol,t_stat_norm_topol,pval_topol
0,[IDH1->-SRSF2],"[0, 1, 9, 11, 12, 17, 19, 20, 35, 39, 41, 42, 44, 51, 52, 53, 56, 75, 83, 86, 88, 90, 91, 97, 98, 108, 111, 119]","[0, 1, 9, 11, 12, 17, 19, 20, 35, 39, 41, 42, 44, 51, 52, 53, 56, 75, 83, 86, 88, 90, 91, 97, 98, 108, 111, 118, 119]",28,0.2333333333333333,0.0776041666666666,0.0004254536876286,0.1557291666666667,7.549945445129258,8.851326128933578e-14,0.1065873015873015,0.000473505605946,0.1267460317460317,5.8246764817166525,6.132570261257248e-10,,,,,
1,[IDH2->-SRSF2],"[10, 16, 21, 25, 26, 31, 32, 36, 45, 58, 60, 62, 63, 65, 73, 76, 80, 81, 100, 102, 106, 114, 117]","[9, 10, 16, 21, 25, 26, 31, 32, 36, 45, 56, 58, 60, 62, 63, 65, 73, 76, 80, 81, 100, 102, 106, 114, 117]",23,0.1916666666666666,0.0653204837490551,0.0003656844512115,0.1263461829176115,6.607069550650136,2.1214847057971844e-10,0.0950198412698412,0.0004167276864449,0.0966468253968254,4.734361494706376,8.451370965866817e-07,,,,,
2,[SRSF2->-NRAS],"[12, 19, 20, 21, 25, 32, 41, 51, 65, 83, 102, 108]","[12, 19, 20, 21, 25, 32, 41, 51, 65, 83, 102, 108]",12,0.1,0.0347916666666666,0.0001865089699074,0.0652083333333333,4.774778596600061,2.574920654296875e-06,0.0472222222222222,0.0002035108024691,0.0527777777777777,3.69962211468539,0.0001017252604166,,,,,
3,[IDH1->-NRAS],"[12, 19, 20, 41, 51, 83, 87, 108, 110]","[12, 19, 20, 41, 51, 83, 87, 108, 110]",9,0.075,0.0257799036281179,0.0001379421566044,0.049220096371882,4.1907712316101,5.112005739795919e-05,0.0339087301587301,0.000149360276518,0.0410912698412698,3.3622655279304823,0.0005890376984126,,,,,
4,[IDH1->-NRAS SRSF2->-NRAS IDH1->-SRSF2],"[12, 19, 20, 41, 51, 83, 108]","[12, 19, 20, 41, 51, 83, 108]",7,0.0583333333333333,0.0033190586419753,2.5966231418371816e-05,0.055014274691358,10.79620021491973,1.4128508391203703e-09,0.0090277777777777,6.317515432098765e-05,0.0493055555555555,6.203298802293371,1.7861225422953811e-06,,,,,
5,[SRSF2->-KRAS],"[1, 39, 45, 62, 88, 90]","[1, 39, 45, 62, 88, 90]",6,0.05,0.018547335600907,9.706599913680512e-05,0.0314526643990929,3.192448326302056,0.0025829081632653,0.0244047619047619,0.0001038123582766,0.025595238095238,2.5120868226990396,0.0133928571428571,,,,,
6,[U2AF1->-IDH1],"[9, 14, 50, 84, 111]","[9, 14, 50, 84, 111]",5,0.0416666666666666,0.0139467592592592,7.651414073216735e-05,0.0277199074074074,3.1689903927628995,0.00396728515625,0.0190873015873015,8.507968002015621e-05,0.022579365079365,2.447928911750924,0.019345238095238,,,,,
7,[PHF6->-IDH2],"[3, 9, 16, 59, 115]","[3, 9, 16, 27, 48, 59, 87, 115]",5,0.0416666666666666,0.0190619331065759,0.0001099008986377,0.0226047335600907,2.1562483030078927,0.0445800311791383,0.0252579365079365,0.0001224659076593,0.0164087301587301,1.4827480798326398,0.1340334467120181,,,,,
8,[IDH1-/-IDH2],"[9, 34, 47, 56, 59]","[9, 34, 47, 56, 59, 87, 110]",5,0.0416666666666666,0.0200140778533635,9.894584956421052e-05,0.021652588813303,2.176762453331443,0.0407575732333749,0.0255555555555555,0.0001005763416477,0.0161111111111111,1.6064883316314733,0.113778209696577,,,,,
9,[IDH1->-NPM1],"[1, 52, 85, 111, 116]","[1, 11, 38, 52, 69, 77, 85, 89, 111, 116]",5,0.0416666666666666,0.0204421296296296,0.0001176000889489,0.021224537037037,1.9571963663768823,0.0628830054012345,0.0295833333333333,0.0001376350308641,0.0120833333333333,1.0299645186124426,0.2468315972222222,,,,,
