,edges_traj,traj_occ_list,traj_alt_occ_list,traj_supp,traj_freq,traj_exp_ind,traj_var_ind,t_stat_ind,t_stat_norm_ind,pval_ind,traj_exp_perm,traj_var_perm,t_stat_perm,t_stat_norm_perm,pval_perm,traj_exp_topol,traj_var_topol,t_stat_topol,t_stat_norm_topol,pval_topol
0,[IDH2->-SRSF2],"[6, 9, 10, 12, 16, 17, 18, 25, 30, 32, 36, 37, 38, 39, 42, 45, 48, 51, 53, 54, 55, 62, 64, 65, 66, 67, 68, 72, 73, 75, 76, 79, 81, 83, 85, 89, 93, 96, 102, 103, 105, 106, 110, 113, 116, 118, 119]","[6, 9, 10, 12, 16, 17, 18, 21, 25, 30, 32, 34, 36, 37, 38, 39, 42, 45, 48, 49, 51, 53, 54, 55, 56, 59, 62, 64, 65, 66, 67, 68, 72, 73, 75, 76, 79, 81, 83, 85, 89, 93, 96, 98, 102, 103, 104, 105, 106, 107, 110, 112, 113, 116, 118, 119]",47,0.3916666666666666,0.1319331538170824,0.0007613096191509,0.2597335128495842,9.413417716342025,1.0777660014601072e-18,0.1921825396825397,0.0008875212585034,0.1994841269841269,6.696054230019031,1.1940804401158615e-11,,,,,
1,[IDH1->-SRSF2],"[0, 1, 3, 7, 11, 13, 15, 19, 20, 21, 23, 24, 26, 27, 28, 29, 34, 35, 44, 46, 47, 49, 50, 52, 56, 58, 59, 60, 63, 70, 80, 82, 84, 88, 90, 91, 92, 97, 98, 99, 100, 107, 108, 111, 112, 114, 115]","[0, 1, 3, 7, 11, 13, 15, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 34, 35, 37, 44, 46, 47, 49, 50, 52, 55, 56, 58, 59, 60, 63, 70, 80, 82, 84, 88, 89, 90, 91, 92, 97, 98, 99, 100, 107, 108, 111, 112, 114, 115]",47,0.3916666666666666,0.123161470143613,0.0006995631553678,0.2685051965230536,10.151710662130924,2.491223048432856e-22,0.1754761904761904,0.0008029919375157,0.2161904761904762,7.629234530374942,2.5167617281779127e-15,,,,,
2,[SRSF2->-KRAS],"[1, 3, 7, 9, 11, 12, 15, 16, 17, 19, 20, 21, 39, 42, 46, 51, 73, 80, 83, 88, 96, 108, 110, 111, 114, 119]","[1, 3, 7, 9, 11, 12, 15, 16, 17, 19, 20, 21, 39, 42, 46, 51, 73, 80, 83, 88, 96, 108, 110, 111, 114, 119]",26,0.2166666666666666,0.0759488851095993,0.0004077582842193,0.1407177815570673,6.968632839565683,1.1407941275713392e-12,0.1010515873015873,0.0004431590923406,0.1156150793650793,5.49205211334756,1.877850415755292e-09,,,,,
3,[IDH1-/-IDH2],"[4, 5, 8, 21, 34, 37, 43, 49, 55, 56, 57, 59, 61, 69, 74, 87, 89, 94, 95, 98, 101, 107, 109, 112]","[4, 5, 8, 21, 34, 37, 43, 49, 55, 56, 57, 59, 61, 69, 74, 87, 89, 94, 95, 98, 101, 107, 109, 112]",24,0.2,0.0873384353741496,0.0003857027555962,0.1126615646258503,5.736531828202145,6.390019526809067e-10,0.1371031746031746,0.0002571948223733,0.0628968253968254,3.921909925676065,1.509642113208642e-05,,,,,
4,[SRSF2->-NRAS],"[3, 6, 9, 25, 29, 32, 34, 45, 50, 53, 62, 63, 65, 68, 70, 75, 76, 83, 90, 97, 102, 111, 113]","[3, 6, 9, 22, 25, 29, 32, 34, 45, 50, 53, 62, 63, 65, 68, 70, 75, 76, 83, 90, 97, 102, 104, 111, 113]",23,0.1916666666666666,0.0716190948601662,0.0003881458227393,0.1200475718065004,6.093347154109868,2.3962426523925083e-09,0.0961309523809523,0.000423826451877,0.0955357142857143,4.640574249459055,1.4059822507996677e-06,,,,,
5,[IDH1->-KRAS SRSF2->-KRAS IDH1->-SRSF2],"[1, 3, 7, 11, 15, 19, 20, 21, 46, 80, 88, 108, 111, 114]","[1, 3, 7, 11, 15, 19, 20, 21, 46, 80, 88, 108, 111, 114]",14,0.1166666666666666,0.0066532021604938,5.196577277038323e-05,0.1100134645061728,15.261145978884135,1.4109127721256924e-18,0.0168055555555555,0.000118393132716,0.0998611111111111,9.17768479340003,7.257781749617752e-13,,,,,
6,[IDH2->-NRAS SRSF2->-NRAS IDH2->-SRSF2],"[6, 9, 25, 32, 45, 53, 62, 65, 68, 75, 76, 83, 102, 113]","[6, 9, 25, 32, 34, 45, 53, 62, 65, 68, 75, 76, 83, 102, 104, 113]",14,0.1166666666666666,0.0064756260573012,5.095024412802868e-05,0.1101910406093654,15.43736418534119,1.6232436522382752e-17,0.018204365079365,0.0001285910139518,0.0984623015873016,8.682897472933314,2.7778797490026102e-11,,,,,
7,[IDH2->-KRAS SRSF2->-KRAS IDH2->-SRSF2],"[9, 12, 16, 17, 39, 42, 51, 73, 83, 96, 110, 119]","[9, 12, 16, 17, 21, 39, 42, 51, 73, 83, 96, 110, 119]",12,0.1,0.004937082478494,3.902553767547149e-05,0.0950629175215059,15.21726806705633,4.524508381666256e-16,0.0140575396825396,0.0001001939838435,0.0859424603174603,8.585922415256002,1.158679871587776e-10,,,,,
8,[IDH1->-NRAS SRSF2->-NRAS IDH1->-SRSF2],"[3, 29, 34, 50, 63, 70, 90, 97, 111]","[3, 22, 29, 34, 50, 63, 70, 90, 97, 111]",9,0.075,0.0039990354938271,3.152342902038323e-05,0.0710009645061728,12.645835325004736,6.5908813321517146e-12,0.0109722222222222,7.780671296296295e-05,0.0640277777777777,7.258717503403986,5.011686202878114e-08,,,,,
9,[IDH2-/-SRSF2 IDH1-/-IDH2 IDH1->-SRSF2],"[21, 34, 49, 56, 59, 98, 107, 112]","[21, 34, 37, 49, 55, 56, 59, 89, 98, 107, 112]",8,0.0666666666666666,0.0031576736448547,2.5342480681147693e-05,0.0635089930218119,12.61568000703131,2.3836823244853945e-10,0.0114980158730158,8.16776305429579e-05,0.0551686507936507,6.104369274859767,3.942121294391098e-06,,,,,
10,[IDH2->-SETBP1],"[30, 48, 72, 76, 102, 118]","[30, 48, 72, 76, 102, 118]",6,0.05,0.0168125,9.154991319444443e-05,0.0331875,3.4685309172616283,0.0013125,0.0216666666666666,0.0001001929012345,0.0283333333333333,2.830604513155456,0.0060763888888888,,,,,
11,[SRSF2->-NPM1],"[1, 11, 17, 58, 114]","[1, 3, 11, 17, 58, 59, 114]",5,0.0416666666666666,0.0195966553287981,0.0001056393727889,0.0220700113378684,2.1472847969972415,0.04410231292517,0.0253373015873015,0.0001140065980095,0.016329365079365,1.5293409081437834,0.1269940476190476,,,,,
12,[IDH1->-NPM1],"[1, 3, 11, 58, 114]","[1, 3, 11, 58, 59, 114]",5,0.0416666666666666,0.0164716553287981,8.936333112232043e-05,0.0251950113378684,2.6652311686842993,0.0150743945578231,0.0211706349206349,9.66454868984631e-05,0.0204960317460317,2.0848700755293397,0.0470238095238095,,,,,
13,[IDH1->-NPM1 SRSF2->-NPM1 IDH1->-SRSF2],"[1, 11, 58, 114]","[1, 3, 11, 58, 59, 114]",4,0.0333333333333333,0.0024905661735593,1.9439319394141135e-05,0.0308427671597739,6.995404105545028,5.79533579527049e-05,0.0059126984126984,4.205168178382463e-05,0.0274206349206349,4.228495005176194,0.0017433372525965,,,,,
14,[IDH1->-STAG2],"[13, 20, 78, 86, 90]","[13, 20, 78, 86, 90]",5,0.0416666666666666,0.0152777777777777,8.053626543209878e-05,0.0263888888888888,2.9405282836297193,0.006591796875,0.0208333333333333,8.680555555555556e-05,0.0208333333333333,2.23606797749979,0.03125,,,,,
15,[SRSF2->-BCOR],"[11, 88, 96, 104]","[11, 23, 47, 82, 88, 96, 104]",4,0.0333333333333333,0.0194583333333333,0.0001070581597222,0.0138749999999999,1.3409824833470545,0.17246232421875,0.0252777777777777,0.0001174382716049,0.0080555555555555,0.7433454229839732,0.3556249999999999,,,,,
16,[SRSF2->-DNMT3A],"[22, 62, 80, 113]","[22, 62, 80, 113]",4,0.0333333333333333,0.0116445578231292,6.269119203803971e-05,0.021688775510204,2.739250626933704,0.0144642857142857,0.0148214285714285,6.752763605442177e-05,0.0185119047619047,2.2527361795988927,0.0375,,,,,
17,[IDH1->-CBL],"[40, 47, 50, 115]","[40, 47, 50, 115]",4,0.0333333333333333,0.0103194444444444,5.8728973765432096e-05,0.0230138888888888,3.003058593918169,0.00875,0.0140277777777777,6.595293209876544e-05,0.0193055555555555,2.377197417888361,0.0291666666666666,,,,,
18,[KRAS-/-NRAS SRSF2->-NRAS SRSF2->-KRAS],"[3, 9, 83, 111]","[3, 9, 83, 111]",4,0.0333333333333333,0.0019046296296296,1.4955044152949248e-05,0.0314287037037037,8.127044146300857,1.0416666666666666e-05,0.0038492063492063,2.812893675988914e-05,0.0294841269841269,5.559191244129785,0.0001587301587301,,,,,
19,[KRAS-/-NRAS IDH2->-KRAS IDH2->-NRAS IDH2->-SRSF2 SRSF2->-KRAS SRSF2->-NRAS],"[9, 83]","[9, 83]",2,0.0166666666666666,9.765625e-05,8.085038926866319e-07,0.0165690104166666,18.42703723281511,3.0517578125e-05,0.0007738095238095,5.95986079617032e-06,0.0158928571428571,6.510043965706504,0.0007936507936507,,,,,
20,[KRAS-/-NRAS IDH1->-NRAS IDH1->-KRAS IDH1->-SRSF2 SRSF2->-KRAS SRSF2->-NRAS],"[3, 111]","[3, 111]",2,0.0166666666666666,0.0001571604938271,1.2973170400853528e-06,0.0165095061728395,14.494759762535136,8.888888888888888e-05,0.0006944444444444,5.5362654320987655e-06,0.0159722222222222,6.788235365160985,0.0016666666666666,,,,,
21,[IDH1->-U2AF1],"[47, 52, 95, 114]","[47, 52, 95, 114]",4,0.0333333333333333,0.0068541666666666,4.251345486111111e-05,0.0264791666666666,4.061075966506605,0.000896,0.0086111111111111,4.888117283950617e-05,0.0247222222222222,3.536036156054101,0.0023333333333333,,,,,
22,[SRSF2->-RUNX1],"[19, 54, 102, 108]","[19, 54, 60, 102, 108, 118]",4,0.0333333333333333,0.0176805555555555,9.44735725308642e-05,0.0156527777777777,1.6104092274009276,0.1202888888888889,0.02375,0.0001026041666666,0.0095833333333333,0.946093580258186,0.296875,,,,,
23,[NRAS->-DNMT3A],"[22, 62, 113]","[22, 62, 113]",3,0.025,0.0085195578231292,4.641515037137304e-05,0.0164804421768707,2.419017325746655,0.0385714285714285,0.0106547619047619,5.0166524943310656e-05,0.014345238095238,2.0253531123952477,0.075,,,,,
24,[IDH2->-DNMT3A NRAS->-DNMT3A SRSF2->-DNMT3A IDH2->-NRAS SRSF2->-NRAS IDH2->-SRSF2],"[62, 113]","[62, 113]",2,0.0166666666666666,7.76721721852006e-05,6.441726409959977e-07,0.0165889944944814,20.66897429530823,2.1150041649312785e-05,0.0004761904761904,3.831057886117409e-06,0.0161904761904761,8.271804570987355,0.0006448412698412,,,,,
25,[IDH2->-KIT],"[30, 77, 81]","[30, 77, 81]",3,0.025,0.0061666666666666,3.870833333333334e-05,0.0188333333333333,3.0270873762570507,0.015,0.0094444444444444,4.737654320987654e-05,0.0155555555555555,2.259976074359533,0.0499999999999999,,,,,
26,[WT1->-IDH1],"[0, 8, 71]","[0, 8, 71, 87]",3,0.025,0.0080462962962962,4.978900891632373e-05,0.0169537037037037,2.4026905933146465,0.0437037037037037,0.0127777777777777,6.126543209876544e-05,0.0122222222222222,1.5615015701728876,0.15,,,,,
27,[IDH1->-JAK2],"[35, 63, 100]","[35, 59, 63, 100]",3,0.025,0.0088258219954648,5.177435542787598e-05,0.0161741780045351,2.247837271641417,0.0540497448979591,0.0120039682539682,5.8451042454018647e-05,0.0129960317460317,1.6998657871210354,0.1220238095238095,,,,,
28,[IDH1-/-SRSF2 IDH1-/-IDH2 IDH2->-SRSF2],"[37, 55, 89]","[21, 34, 37, 49, 55, 56, 59, 89, 98, 107, 112]",3,0.025,0.0031576736448547,2.5342480681147693e-05,0.0218423263551452,4.338846937960744,0.0053828351579504,0.0114980158730158,8.16776305429579e-05,0.0135019841269841,1.4939842803603924,0.1484359271755738,,,,,
29,[IDH2->-SMC3 SRSF2->-SMC3 IDH2->-SRSF2],"[9, 12, 62]","[9, 12, 59, 62]",3,0.025,0.001494548712342,1.1742666548397244e-05,0.0235054512876579,6.859385790626496,0.0002426112312896,0.0029365079365079,2.1419123204837492e-05,0.022063492063492,4.767310142337741,0.0015624662563438,,,,,
30,[IDH2->-PPM1D],"[38, 48, 66]","[33, 38, 48, 66]",3,0.025,0.0096064814814814,5.5713627400548696e-05,0.0153935185185185,2.062325353087154,0.0720164609053498,0.0138888888888888,6.558641975308642e-05,0.0111111111111111,1.3719886811400708,0.1944444444444444,,,,,
31,[IDH1->-PTPN11],"[40, 84, 111]","[40, 84, 111]",3,0.025,0.008912037037037,4.772965963648834e-05,0.0160879629629629,2.3286643207952302,0.0451388888888888,0.0119444444444444,5.177469135802469e-05,0.0130555555555555,1.81441487573313,0.1083333333333333,,,,,
32,[IDH2->-BCOR],"[41, 96, 104]","[41, 94, 96, 101, 104]",3,0.025,0.0090486111111111,5.368513695987654e-05,0.0159513888888888,2.17706537374735,0.0607666666666666,0.0122222222222222,6.11496913580247e-05,0.0127777777777777,1.634023116648392,0.1349999999999999,,,,,
33,[IDH1->-ASXL1],"[2, 49, 78]","[2, 49, 78]",3,0.025,0.0071944444444444,4.245293209876543e-05,0.0178055555555555,2.732761202048011,0.0233333333333333,0.01125,5.052083333333333e-05,0.01375,1.9344942598098125,0.0875,,,,,
