edges_traj,traj_occ_list,traj_alt_occ_list,traj_supp,traj_freq,traj_exp_ind,traj_var_ind,t_stat_ind,t_stat_norm_ind,pval_ind,traj_exp_perm,traj_var_perm,t_stat_perm,t_stat_norm_perm,pval_perm,traj_exp_topol,traj_var_topol,t_stat_topol,t_stat_norm_topol,pval_topol
[IDH2->-SRSF2],"[1, 3, 6, 11, 15, 16, 17, 18, 20, 23, 27, 28, 32, 33, 34, 35, 38, 39, 41, 42, 46, 47, 49, 51, 52, 56, 63, 65, 66, 67, 68, 73, 77, 78, 80, 82, 86, 87, 91, 95, 98, 102, 103, 110, 113, 114, 115, 116, 118]","[1, 3, 6, 11, 15, 16, 17, 18, 20, 21, 22, 23, 27, 28, 32, 33, 34, 35, 38, 39, 41, 42, 46, 47, 49, 51, 52, 56, 63, 65, 66, 67, 68, 73, 77, 78, 80, 82, 86, 87, 89, 91, 95, 98, 102, 103, 107, 109, 110, 113, 114, 115, 116, 118]",49,0.4083333333333333,0.1277729591836734,0.0007309608626658,0.2805603741496598,10.377178084895078,5.851908667744364e-23,0.182797619047619,0.0008434574987402,0.2255357142857143,7.765755657045283,1.2201360742458538e-15,,,,,
[IDH1->-SRSF2],"[0, 2, 7, 9, 12, 13, 14, 19, 21, 25, 29, 30, 36, 45, 48, 50, 53, 54, 58, 59, 61, 62, 64, 70, 72, 75, 76, 79, 81, 83, 84, 85, 89, 90, 92, 93, 94, 96, 97, 100, 105, 106, 107, 108, 109, 111, 117, 119]","[0, 2, 7, 9, 12, 13, 14, 19, 21, 25, 29, 30, 34, 36, 45, 48, 50, 53, 54, 58, 59, 61, 62, 64, 70, 72, 75, 76, 79, 81, 83, 84, 85, 87, 89, 90, 92, 93, 94, 95, 96, 97, 98, 100, 104, 105, 106, 107, 108, 109, 111, 117, 119]",48,0.4,0.1268754724111866,0.0007252790601973,0.2731245275888133,10.141638678591528,4.459267447053146e-22,0.1832738095238095,0.0008370035745779,0.2167261904761905,7.491137020700159,9.134526717568351e-15,,,,,
[SRSF2->-NRAS],"[1, 3, 6, 7, 9, 17, 20, 21, 23, 29, 39, 46, 49, 53, 58, 61, 62, 63, 73, 75, 79, 82, 83, 84, 86, 96, 102, 108, 110, 115, 117, 118]","[1, 3, 6, 7, 9, 17, 20, 21, 22, 23, 29, 39, 46, 49, 53, 58, 61, 62, 63, 73, 75, 79, 82, 83, 84, 86, 96, 102, 108, 110, 115, 117, 118]",32,0.2666666666666666,0.0929591836734693,0.0005079213019604,0.1737074829931972,7.707620333793306,1.358918724486566e-14,0.1249007936507936,0.0005579282407407,0.141765873015873,6.001813890614143,1.3676319388494222e-10,,,,,
[SRSF2->-KRAS],"[3, 11, 12, 19, 25, 34, 38, 42, 45, 47, 50, 51, 61, 68, 76, 83, 111, 113, 118, 119]","[3, 11, 12, 19, 25, 34, 38, 42, 45, 47, 50, 51, 61, 68, 76, 83, 104, 111, 113, 118, 119]",20,0.1666666666666666,0.0593078703703703,0.000323158334405,0.1073587962962962,5.972139629280171,4.523183898925781e-09,0.0788888888888888,0.0003539351851851,0.0877777777777777,4.665763405685867,1.1211899916330974e-06,,,,,
[IDH2->-NRAS SRSF2->-NRAS IDH2->-SRSF2],"[1, 3, 6, 17, 20, 23, 39, 46, 49, 63, 73, 82, 86, 102, 110, 115, 118]","[1, 3, 6, 17, 20, 21, 22, 23, 39, 46, 49, 63, 73, 82, 86, 102, 110, 115, 118]",17,0.1416666666666666,0.007670107169852,6.024565174321078e-05,0.1339965594968146,17.26357731243191,1.2873158390980477e-21,0.0200595238095238,0.0001425546028596,0.1216071428571428,10.18517423211938,1.4302016173554122e-14,,,,,
[IDH1-/-IDH2],"[5, 8, 21, 34, 37, 43, 55, 57, 74, 87, 89, 95, 98, 101, 107, 109, 112]","[5, 8, 21, 34, 37, 43, 55, 57, 74, 87, 89, 95, 98, 101, 107, 109, 112]",17,0.1416666666666666,0.0638379629629629,0.0002789422367969,0.0778287037037037,4.659965028243901,7.526705692635681e-07,0.1008333333333333,0.0001844907407407,0.0408333333333333,3.0062669798819814,0.0012193263222069,,,,,
[IDH1->-NRAS SRSF2->-NRAS IDH1->-SRSF2],"[7, 9, 21, 29, 53, 58, 61, 62, 75, 79, 83, 84, 96, 108, 117]","[7, 9, 21, 29, 53, 58, 61, 62, 75, 79, 83, 84, 96, 108, 117]",15,0.125,0.0053967680326098,4.275584620612272e-05,0.1196032319673901,18.29132483275516,1.1563980996236137e-21,0.0163988095238095,0.0001166118472852,0.1086011904761904,10.05687954318199,1.790437300870044e-14,,,,,
[IDH1->-KRAS SRSF2->-KRAS IDH1->-SRSF2],"[12, 19, 25, 45, 50, 61, 76, 83, 111, 119]","[12, 19, 25, 34, 45, 50, 61, 76, 83, 104, 111, 119]",10,0.0833333333333333,0.0048778935185185,3.836242763673364e-05,0.0784554398148148,12.6668906161513,2.1822980524581152e-12,0.0123611111111111,8.841628086419752e-05,0.0709722222222222,7.547832994773059,2.1302930928414142e-08,,,,,
[IDH2->-KRAS SRSF2->-KRAS IDH2->-SRSF2],"[3, 11, 34, 38, 42, 47, 51, 68, 113, 118]","[3, 11, 34, 38, 42, 47, 51, 68, 113, 118]",10,0.0833333333333333,0.0036311342592592,2.8671961399212675e-05,0.079702199074074,14.8847519821205,8.001828989483311e-15,0.0104861111111111,7.439718364197531e-05,0.0728472222222222,8.445682452236086,2.6047620408474286e-10,,,,,
[IDH1->-RUNX1],"[9, 12, 45, 70, 76, 81, 100, 111]","[9, 12, 13, 45, 70, 76, 81, 100, 111]",8,0.0666666666666666,0.0258773148148148,0.0001399668799296,0.0407893518518518,3.447737269574842,0.0011829427083333,0.0340873015873015,0.0001517463466868,0.032579365079365,2.644743109115775,0.0090252976190476,,,,,
