edges_traj,traj_occ_list,traj_alt_occ_list,traj_supp,traj_freq,traj_exp_ind,traj_var_ind,t_stat_ind,t_stat_norm_ind,pval_ind,traj_exp_perm,traj_var_perm,t_stat_perm,t_stat_norm_perm,pval_perm,traj_exp_topol,traj_var_topol,t_stat_topol,t_stat_norm_topol,pval_topol
[IDH2->-SRSF2],"[3, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 20, 23, 27, 28, 30, 33, 34, 37, 38, 39, 40, 42, 46, 48, 50, 52, 53, 58, 59, 65, 70, 71, 73, 77, 79, 82, 83, 86, 87, 94, 96, 97, 98, 99, 102, 103, 106, 107, 108, 109, 110, 112, 113, 115, 118, 119]","[3, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 20, 21, 23, 27, 28, 30, 33, 34, 37, 38, 39, 40, 42, 46, 48, 50, 52, 53, 55, 56, 58, 59, 65, 70, 71, 73, 77, 79, 82, 83, 86, 87, 89, 94, 95, 96, 97, 98, 99, 102, 103, 106, 107, 108, 109, 110, 112, 113, 115, 118, 119]",57,0.475,0.1452700774754346,0.0008314669139099,0.3297299225245653,11.43499224491355,1.2269288265035366e-27,0.2084722222222222,0.0009616602891156,0.2665277777777777,8.594718105032754,5.533156101651296e-19,,,,,
[IDH1->-SRSF2],"[0, 1, 2, 6, 7, 16, 18, 21, 24, 25, 26, 29, 31, 32, 35, 36, 41, 44, 45, 47, 49, 51, 54, 55, 56, 60, 61, 62, 63, 64, 66, 67, 68, 72, 75, 76, 78, 80, 81, 84, 85, 88, 89, 90, 91, 92, 93, 95, 100, 105, 111, 114, 116, 117]","[0, 1, 2, 6, 7, 16, 18, 21, 22, 24, 25, 26, 29, 31, 32, 34, 35, 36, 37, 41, 44, 45, 47, 49, 51, 54, 55, 56, 60, 61, 62, 63, 64, 66, 67, 68, 72, 75, 76, 78, 80, 81, 84, 85, 87, 88, 89, 90, 91, 92, 93, 95, 98, 100, 104, 105, 107, 109, 111, 114, 116, 117]",54,0.45,0.1419015022675737,0.0008247874765459,0.3080984977324263,10.727994734926202,8.619584606664463e-24,0.211765873015873,0.0009715014014865,0.238234126984127,7.643323802432382,5.456119520511751e-15,,,,,
[SRSF2->-KRAS],"[0, 9, 13, 15, 16, 17, 19, 21, 25, 27, 32, 38, 40, 41, 42, 45, 47, 48, 49, 50, 51, 53, 54, 61, 65, 68, 72, 75, 76, 79, 80, 82, 83, 84, 86, 88, 96, 102, 108, 110, 111, 114, 115, 117, 118, 119]","[0, 9, 13, 15, 16, 17, 19, 21, 25, 27, 32, 38, 40, 41, 42, 45, 47, 48, 49, 50, 51, 53, 54, 61, 65, 68, 72, 75, 76, 79, 80, 82, 83, 84, 86, 88, 96, 102, 108, 110, 111, 114, 115, 117, 118, 119]",46,0.3833333333333333,0.1304697184429327,0.0007118073293582,0.2528636148904006,9.477747066570632,1.9995579266425983e-22,0.177579365079365,0.000782491654069,0.2057539682539683,7.355435015346665,2.6331627017515723e-16,,,,,
[SRSF2->-NRAS],"[1, 3, 6, 7, 9, 11, 12, 20, 23, 26, 29, 34, 39, 46, 47, 58, 60, 61, 62, 63, 70, 72, 73, 78, 82, 83, 90, 96, 97, 100, 112, 113, 114, 118]","[1, 3, 6, 7, 9, 11, 12, 20, 22, 23, 26, 29, 34, 39, 46, 47, 58, 60, 61, 62, 63, 70, 72, 73, 78, 82, 83, 90, 96, 97, 100, 104, 112, 113, 114, 118]",34,0.2833333333333333,0.0995542800453514,0.0005496634624855,0.1837790532879818,7.838763745826751,1.1187484776403128e-14,0.1350198412698413,0.0006074298469387,0.148313492063492,6.017728593390295,2.2390228138244242e-10,,,,,
[IDH2->-KRAS SRSF2->-KRAS IDH2->-SRSF2],"[9, 13, 15, 17, 19, 27, 38, 40, 42, 48, 50, 53, 65, 79, 82, 83, 86, 96, 102, 108, 110, 115, 118, 119]","[9, 13, 15, 17, 19, 21, 27, 38, 40, 42, 48, 50, 53, 65, 79, 82, 83, 86, 96, 102, 108, 110, 115, 118, 119]",24,0.2,0.0098703000710866,7.775117528996194e-05,0.1901296999289133,21.562369376488352,5.028401736805662e-32,0.028015873015873,0.0001983758897077,0.171984126984127,12.210794500614895,3.7965448021936445e-21,,,,,
[IDH1->-KRAS SRSF2->-KRAS IDH1->-SRSF2],"[0, 16, 21, 25, 32, 41, 45, 47, 49, 51, 54, 61, 68, 72, 75, 76, 80, 84, 88, 111, 114, 117]","[0, 16, 21, 25, 32, 41, 45, 47, 49, 51, 54, 61, 68, 72, 75, 76, 80, 84, 88, 111, 114, 117]",22,0.1833333333333333,0.008213387345679,6.498441128061413e-05,0.1751199459876543,21.723561120352606,4.763112724152077e-31,0.0251388888888888,0.0001776909722222,0.1581944444444444,11.867481021331926,1.8518982271503255e-20,,,,,
[IDH2->-NRAS SRSF2->-NRAS IDH2->-SRSF2],"[3, 9, 11, 12, 20, 23, 34, 39, 46, 58, 70, 73, 82, 83, 96, 97, 112, 113, 118]","[3, 9, 11, 12, 20, 23, 34, 39, 46, 58, 70, 73, 82, 83, 96, 97, 112, 113, 118]",19,0.1583333333333333,0.0071251929012345,5.627579481411227e-05,0.1512081404320987,20.1564643006661,4.2115862676088506e-27,0.0200396825396825,0.0001426171973418,0.1382936507936508,11.580206206232791,1.153875049224434e-18,,,,,
[IDH1-/-IDH2],"[4, 5, 21, 34, 37, 43, 55, 56, 57, 69, 74, 87, 89, 95, 98, 101, 107, 109]","[4, 5, 21, 34, 37, 43, 55, 56, 57, 69, 74, 87, 89, 95, 98, 101, 107, 109]",18,0.15,0.0719398148148148,0.0003057876586076,0.0780601851851851,4.463952867270188,1.5053411385271363e-06,0.1174999999999999,0.0001690586419753,0.0325,2.499566370425941,0.0073159579332418,,,,,
[IDH1->-NRAS SRSF2->-NRAS IDH1->-SRSF2],"[1, 6, 7, 26, 29, 47, 60, 61, 62, 63, 72, 78, 90, 100, 114]","[1, 6, 7, 22, 26, 29, 34, 47, 60, 61, 62, 63, 72, 78, 90, 100, 104, 114]",15,0.125,0.0059877016745851,4.7574326973452866e-05,0.1190122983254148,17.254624626294376,2.9127639045958028e-19,0.0184424603174603,0.0001315467332766,0.1065575396825396,9.290608308922245,3.503349480447554e-12,,,,,
[KRAS-/-NRAS SRSF2->-NRAS SRSF2->-KRAS],"[9, 47, 61, 72, 82, 83, 96, 114, 118]","[9, 47, 61, 72, 82, 83, 96, 114, 118]",9,0.075,0.0052583333333333,4.062739583333334e-05,0.0697416666666666,10.94165026616117,3.5156250000000005e-11,0.0121825396825396,8.445609725371629e-05,0.0628174603174603,6.835414726745072,6.532105297537393e-08,,,,,
