,edges_traj,traj_occ_list,traj_alt_occ_list,traj_supp,traj_freq,traj_exp_ind,traj_var_ind,t_stat_ind,t_stat_norm_ind,pval_ind,traj_exp_perm,traj_var_perm,t_stat_perm,t_stat_norm_perm,pval_perm,traj_exp_topol,traj_var_topol,t_stat_topol,t_stat_norm_topol,pval_topol
0,[IDH2->-SRSF2],"[0, 2, 3, 6, 7, 8, 9, 11, 13, 15, 16, 18, 23, 24, 27, 28, 29, 30, 35, 36, 37, 40, 42, 44, 45, 46, 48, 49, 53, 54, 55, 56, 58, 61, 62, 63, 66, 68, 70, 72, 73, 80, 81, 82, 83, 86, 91, 93, 99, 105, 107, 108, 110, 111, 115, 118]","[0, 2, 3, 6, 7, 8, 9, 11, 13, 15, 16, 18, 21, 23, 24, 27, 28, 29, 30, 34, 35, 36, 37, 40, 42, 44, 45, 46, 48, 49, 53, 54, 55, 56, 58, 61, 62, 63, 66, 68, 70, 72, 73, 80, 81, 82, 83, 86, 87, 89, 91, 93, 95, 98, 99, 104, 105, 107, 108, 109, 110, 111, 115, 118]",56,0.4666666666666667,0.1494985355253212,0.0008621680922982,0.3171681311413454,10.8017362842001,2.311208887165931e-24,0.2167063492063491,0.0010043209876543,0.2499603174603175,7.887416931258102,7.711737992445754e-16,,,,,
1,[IDH1->-SRSF2],"[1, 10, 12, 14, 17, 19, 20, 21, 25, 26, 31, 32, 33, 34, 38, 39, 41, 47, 50, 51, 52, 59, 60, 64, 65, 67, 71, 75, 76, 77, 78, 79, 84, 85, 87, 88, 89, 90, 92, 94, 95, 96, 97, 98, 100, 102, 103, 106, 109, 112, 113, 114, 116, 117, 119]","[1, 10, 12, 14, 17, 19, 20, 21, 22, 25, 26, 31, 32, 33, 34, 37, 38, 39, 41, 47, 50, 51, 52, 55, 56, 59, 60, 64, 65, 67, 71, 75, 76, 77, 78, 79, 84, 85, 87, 88, 89, 90, 92, 94, 95, 96, 97, 98, 100, 102, 103, 106, 107, 109, 112, 113, 114, 116, 117, 119]",55,0.4583333333333333,0.137673044217687,0.0007940862981576,0.3206602891156462,11.379189466634797,4.688655139165981e-27,0.203531746031746,0.0009288407029478,0.2548015873015873,8.360485729190879,4.398242075211016e-18,,,,,
2,[SRSF2->-KRAS],"[1, 3, 7, 9, 11, 13, 15, 16, 19, 23, 32, 39, 40, 47, 48, 49, 50, 54, 58, 60, 61, 63, 68, 70, 72, 75, 79, 80, 82, 83, 84, 86, 88, 90, 96, 100, 108, 110, 112, 113, 114, 115, 118, 119]","[1, 3, 7, 9, 11, 13, 15, 16, 19, 22, 23, 32, 39, 40, 47, 48, 49, 50, 54, 58, 60, 61, 63, 68, 70, 72, 75, 79, 80, 82, 83, 84, 86, 88, 90, 96, 100, 108, 110, 112, 113, 114, 115, 118, 119]",44,0.3666666666666666,0.1277590702947845,0.0006973630188729,0.238907596371882,9.046914842994832,6.022156173735025e-20,0.1729960317460317,0.0007661143392542,0.1936706349206349,6.9970822785937825,2.8269336269828155e-14,,,,,
3,[SRSF2->-NRAS],"[0, 6, 9, 12, 17, 20, 21, 25, 26, 27, 29, 34, 38, 41, 42, 45, 46, 47, 51, 53, 61, 62, 65, 72, 73, 76, 78, 82, 83, 96, 97, 102, 111, 114, 117, 118]","[0, 6, 9, 12, 17, 20, 21, 25, 26, 27, 29, 34, 38, 41, 42, 45, 46, 47, 51, 53, 61, 62, 65, 72, 73, 76, 78, 82, 83, 96, 97, 102, 104, 111, 114, 117, 118]",36,0.3,0.1022649281934996,0.0005641077729708,0.1977350718065003,8.32535313453907,9.403239960801076e-17,0.1396031746031746,0.0006238071617535,0.1603968253968253,6.422004272561104,5.163433162212998e-12,,,,,
4,[IDH2->-KRAS SRSF2->-KRAS IDH2->-SRSF2],"[3, 7, 9, 11, 13, 15, 16, 23, 40, 48, 49, 54, 58, 61, 63, 68, 70, 72, 80, 82, 83, 86, 108, 110, 115, 118]","[3, 7, 9, 11, 13, 15, 16, 23, 40, 48, 49, 54, 58, 61, 63, 68, 70, 72, 80, 82, 83, 86, 108, 110, 115, 118]",26,0.2166666666666666,0.0100549837130619,7.934423939062542e-05,0.2066116829536047,23.195149425279823,3.0756706844413136e-36,0.0289186507936507,0.0002052287060657,0.1877480158730158,13.10558171218255,2.4496008295639216e-24,,,,,
5,[IDH1->-NRAS SRSF2->-NRAS IDH1->-SRSF2],"[12, 17, 20, 21, 25, 26, 34, 38, 41, 47, 51, 65, 76, 78, 96, 97, 102, 114, 117]","[12, 17, 20, 21, 25, 26, 34, 38, 41, 47, 51, 65, 76, 78, 96, 97, 102, 114, 117]",19,0.1583333333333333,0.0071521604938271,5.64364563001305e-05,0.1511811728395061,20.1241637318132,4.273611293423832e-27,0.0219444444444444,0.0001544849537037,0.1363888888888889,10.973265769735256,7.692500328162893e-18,,,,,
6,[IDH1->-KRAS SRSF2->-KRAS IDH1->-SRSF2],"[1, 19, 32, 39, 47, 50, 60, 75, 79, 84, 88, 90, 96, 100, 112, 113, 114, 119]","[1, 19, 22, 32, 39, 47, 50, 60, 75, 79, 84, 88, 90, 96, 100, 112, 113, 114, 119]",18,0.15,0.0074463348765432,5.873951538178964e-05,0.1425536651234568,18.600011303156144,6.0673634775843846e-24,0.0215972222222222,0.0001525221836419,0.1284027777777777,10.396996837470535,1.0117176431599835e-15,,,,,
7,[IDH1-/-IDH2],"[4, 5, 21, 34, 37, 43, 55, 56, 57, 69, 74, 87, 89, 95, 98, 101, 107, 109]","[4, 5, 21, 34, 37, 43, 55, 56, 57, 69, 74, 87, 89, 95, 98, 101, 107, 109]",18,0.15,0.0719398148148148,0.0003057876586076,0.0780601851851851,4.463952867270188,1.5053411385271363e-06,0.1174999999999999,0.0001690586419753,0.0325,2.499566370425941,0.0073159579332418,,,,,
8,[IDH2->-NRAS SRSF2->-NRAS IDH2->-SRSF2],"[0, 6, 9, 27, 29, 42, 45, 46, 53, 61, 62, 72, 73, 82, 83, 111, 118]","[0, 6, 9, 21, 27, 29, 34, 42, 45, 46, 53, 61, 62, 72, 73, 82, 83, 104, 111, 118]",17,0.1416666666666666,0.006543102909153,5.206549728559565e-05,0.1351235637575135,18.726476953619,4.1946295308806936e-22,0.0191765873015873,0.000137994949137,0.1224900793650793,10.427238823862444,1.9214452362063055e-14,,,,,
9,[KRAS-/-NRAS SRSF2->-NRAS SRSF2->-KRAS],"[9, 47, 61, 72, 82, 83, 96, 114, 118]","[9, 47, 61, 72, 82, 83, 96, 114, 118]",9,0.075,0.0052583333333333,4.062739583333334e-05,0.0697416666666666,10.94165026616117,3.5156250000000005e-11,0.0121825396825396,8.445609725371629e-05,0.0628174603174603,6.835414726745072,6.532105297537393e-08,,,,,
10,[KRAS-/-NRAS IDH1->-KRAS IDH1->-NRAS IDH1->-SRSF2 SRSF2->-KRAS SRSF2->-NRAS],"[47, 96, 114]","[47, 96, 114]",3,0.025,0.0001984374999999,1.6401628363715276e-06,0.0248015625,19.365805185611983,4.8e-07,0.0013888888888888,1.0841049382716048e-05,0.0236111111111111,7.171017190363163,0.0001388888888888,,,,,
11,[KRAS-/-NRAS IDH2->-NRAS IDH2->-KRAS IDH2->-SRSF2 SRSF2->-KRAS SRSF2->-NRAS],"[9, 61, 72, 82, 83, 118]","[9, 61, 72, 82, 83, 118]",6,0.05,0.00037296875,3.083659068467882e-06,0.04962703125,28.260843357432744,1.3969838619232177e-13,0.0032738095238095,2.517282375913328e-05,0.0467261904761904,9.313103027133042,2.29644326866549e-08,,,,,
12,[IDH2-/-SRSF2 IDH1-/-IDH2 IDH1->-SRSF2],"[21, 34, 87, 89, 95, 98, 109]","[21, 34, 37, 55, 56, 87, 89, 95, 98, 107, 109]",7,0.0583333333333333,0.0035354938271604,2.8311525744574944e-05,0.0547978395061728,10.298685566355466,3.5620151559339096e-08,0.0131944444444444,9.33159722222222e-05,0.0451388888888888,4.672753505482332,0.0002241901633567,,,,,
13,[SRSF2->-JAK2],"[11, 50, 62, 76, 86, 104, 118]","[11, 50, 62, 76, 86, 104, 118]",7,0.0583333333333333,0.0206445578231292,0.0001100245253713,0.037688775510204,3.5930832174865377,0.000648,0.0260714285714285,0.0001180484693877,0.0322619047619047,2.9693392882713954,0.00328125,,,,,
14,[IDH2->-JAK2],"[11, 62, 86, 104, 118]","[11, 62, 86, 104, 118]",5,0.0416666666666666,0.0141862244897959,7.708181703803971e-05,0.0274804421768707,3.1300245555643933,0.00432,0.0177380952380952,8.33262471655329e-05,0.0239285714285714,2.6213551226034246,0.013125,,,,,
15,[IDH2->-JAK2 IDH2->-SRSF2 SRSF2->-JAK2],"[11, 62, 86, 118]","[11, 62, 86, 104, 118]",4,0.0333333333333333,0.0021219995140913,1.6601927747975146e-05,0.0312113338192419,7.660075830759398,2.2799300291545193e-05,0.0044841269841269,3.240032123960695e-05,0.0288492063492063,5.068263805293545,0.0004186507936507,,,,,
16,[IDH2->-SF3B1],"[3, 8, 30, 66, 110]","[3, 8, 30, 66, 110]",5,0.0416666666666666,0.0120183295540438,6.951250661304246e-05,0.0296483371126228,3.556058242436768,0.0017233560090702,0.0158531746031746,8.068743701184178e-05,0.025813492063492,2.8737156944069633,0.0075396825396825,,,,,
17,[SRSF2->-KIT],"[48, 51, 111, 113, 114]","[48, 51, 111, 113, 114]",5,0.0416666666666666,0.0150509259259259,7.996075531550068e-05,0.0266157407407407,2.976460432013225,0.00609375,0.0194444444444444,8.580246913580246e-05,0.0222222222222222,2.3990405756162687,0.0216666666666666,,,,,
18,[IDH1->-ASXL1],"[1, 52, 88, 97]","[1, 52, 88, 97]",4,0.0333333333333333,0.0109166666666666,5.855208333333333e-05,0.0224166666666666,2.9295428707456224,0.009,0.0141666666666666,6.319444444444444e-05,0.0191666666666666,2.4110551244604115,0.025,,,,,
19,[IDH2->-SMC3],"[13, 81, 110, 111]","[13, 81, 110, 111]",4,0.0333333333333333,0.011365551776266,6.14504138489821e-05,0.0219677815570672,2.802359161003722,0.0126020408163265,0.014047619047619,6.62005542957924e-05,0.0192857142857142,2.370308727437888,0.0294047619047619,,,,,
20,[IDH2->-PHF6],"[11, 104, 105, 108]","[11, 87, 104, 105, 108]",4,0.0333333333333333,0.0121851851851851,6.866941015089163e-05,0.0211481481481481,2.5520588540874853,0.0244053333333333,0.0156944444444444,7.706404320987653e-05,0.0176388888888888,2.0093025209698943,0.0633333333333333,,,,,
