,p1,p2,seed,our_ilp_max_2_alt_alteration_recall,our_ilp_max_2_alt_alteration_precision,our_ilp_max_2_alt_pathway_accuracy,our_ilp_max_2_alt_dependency_accuracy,our_ilp_no_max_alt_alteration_recall,our_ilp_no_max_alt_alteration_precision,our_ilp_no_max_alt_pathway_accuracy,our_ilp_no_max_alt_dependency_accuracy,MASTRO_trajectory_accuracy
0,0.5,0.5,1,1.0,0.8333333333333334,0.6666666666666666,0.0,0.8,0.2105263157894736,0.0,0.0,<NOT_DONE>
1,0.5,0.5,2,1.0,1.0,1.0,1.0,0.6,0.1428571428571428,0.0,0.0,<NOT_DONE>
2,0.5,0.5,3,0.8,0.6666666666666666,0.3333333333333333,0.0,1.0,0.2777777777777778,0.0,0.0,<NOT_DONE>
3,0.5,0.5,4,1.0,1.0,1.0,1.0,1.0,0.238095238095238,0.0,0.0,<NOT_DONE>
4,0.5,0.5,5,0.8,0.6666666666666666,0.3333333333333333,0.0,1.0,0.217391304347826,0.0,0.0,<NOT_DONE>
5,0.5,0.5,6,1.0,0.8333333333333334,0.6666666666666666,0.0,0.8,0.1818181818181818,0.0,0.0,
6,0.5,0.5,7,1.0,1.0,1.0,1.0,1.0,0.2941176470588235,0.0,0.0,
7,0.5,0.5,8,1.0,1.0,1.0,1.0,0.8,0.1904761904761904,0.0,0.0,
8,0.5,0.5,9,1.0,1.0,1.0,1.0,1.0,0.3125,0.0,0.0,
9,0.5,0.5,10,0.8,0.8,0.6666666666666666,0.5,0.6,0.1428571428571428,0.0,0.0,
10,0.5,0.5,11,1.0,1.0,1.0,1.0,0.8,0.2,0.0,0.0,
11,0.5,0.5,12,0.8,0.8,0.6666666666666666,0.5,1.0,0.238095238095238,0.0,0.0,
12,0.5,0.5,13,1.0,1.0,1.0,1.0,0.8,0.2666666666666666,0.0,0.0,
13,0.5,0.5,14,1.0,1.0,1.0,1.0,0.6,0.1578947368421052,0.0,0.0,
14,0.5,0.5,15,1.0,0.8333333333333334,0.6666666666666666,0.0,0.8,0.2222222222222222,0.0,0.0,
15,0.5,0.5,16,1.0,0.8333333333333334,0.6666666666666666,0.0,1.0,0.2631578947368421,0.0,0.0,
16,0.5,0.5,17,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.0,
17,0.5,0.5,18,1.0,1.0,1.0,1.0,1.0,0.2777777777777778,0.0,0.0,
18,0.5,0.5,19,1.0,1.0,1.0,1.0,1.0,0.25,0.0,0.0,
19,0.5,0.5,20,1.0,1.0,1.0,1.0,0.8,0.2222222222222222,0.0,0.0,
