,p1,p2,seed,our_ilp_max_2_alt_alteration_recall,our_ilp_max_2_alt_alteration_precision,our_ilp_max_2_alt_pathway_accuracy,our_ilp_max_2_alt_dependency_accuracy,our_ilp_no_max_alt_alteration_recall,our_ilp_no_max_alt_alteration_precision,our_ilp_no_max_alt_pathway_accuracy,our_ilp_no_max_alt_dependency_accuracy,MASTRO_trajectory_accuracy,MASTRO_expanded_dependency_precision,MASTRO_expanded_dependency_recall,MASTRO_expanded_dependency_accuracy
0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,3,1.0,0.8333333333333334,0.6666666666666666,0.0,1.0,0.7142857142857143,0.6666666666666666,0.0,1.0,1.0,1.0,1.0
3,1.0,1.0,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,1.0,1.0,5,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,0.6666666666666666,0.0,1.0,1.0,1.0,1.0
5,1.0,0.8,1,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.6666666666666666,0.5,1.0,1.0,1.0,1.0
6,1.0,0.8,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,1.0,0.8,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,1.0,0.8,4,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,0.6666666666666666,0.5,1.0,1.0,1.0,1.0
9,1.0,0.8,5,1.0,1.0,1.0,1.0,1.0,0.5555555555555556,0.3333333333333333,0.0,1.0,1.0,1.0,1.0
10,1.0,0.5,1,1.0,1.0,1.0,1.0,1.0,0.5555555555555556,0.6666666666666666,0.5,1.0,1.0,1.0,1.0
11,1.0,0.5,2,1.0,1.0,1.0,1.0,1.0,0.625,0.3333333333333333,0.0,1.0,1.0,1.0,1.0
12,1.0,0.5,3,1.0,1.0,1.0,1.0,1.0,0.4166666666666667,0.0,0.0,0.75,0.75,0.75,0.75
13,1.0,0.5,4,1.0,1.0,1.0,1.0,1.0,0.3571428571428571,0.0,0.0,0.75,0.75,0.75,0.75
14,1.0,0.5,5,1.0,1.0,1.0,1.0,1.0,0.4545454545454545,0.3333333333333333,0.0,1.0,1.0,1.0,1.0
15,1.0,0.2,1,0.6,0.5,0.3333333333333333,0.0,0.6,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0
16,1.0,0.2,2,0.4,0.3333333333333333,0.0,0.0,0.8,0.1904761904761904,0.0,0.0,0.0,0.0,0.0,0.0
17,1.0,0.2,3,0.6,0.5,0.0,0.0,0.8,0.1739130434782608,0.0,0.0,0.25,0.3333333333333333,0.25,0.25
18,1.0,0.2,4,0.8,0.6666666666666666,0.3333333333333333,0.0,0.8,0.1739130434782608,0.0,0.0,0.0,0.0,0.0,0.0
19,1.0,0.2,5,0.4,0.3333333333333333,0.0,0.0,0.6,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0
20,0.8,1.0,1,1.0,0.8333333333333334,0.6666666666666666,0.0,1.0,0.7142857142857143,0.3333333333333333,0.0,1.0,1.0,1.0,1.0
21,0.8,1.0,2,1.0,1.0,1.0,1.0,1.0,0.625,0.3333333333333333,0.0,0.75,0.75,0.75,0.75
22,0.8,1.0,3,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.6666666666666666,0.5,1.0,1.0,1.0,1.0
23,0.8,1.0,4,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,0.6666666666666666,0.5,1.0,1.0,1.0,1.0
24,0.8,1.0,5,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,0.6666666666666666,0.5,1.0,1.0,1.0,1.0
25,0.8,0.8,1,1.0,1.0,1.0,1.0,1.0,0.4166666666666667,0.0,0.0,1.0,1.0,1.0,1.0
26,0.8,0.8,2,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,0.3333333333333333,0.0,1.0,1.0,1.0,1.0
27,0.8,0.8,3,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,0.3333333333333333,0.0,1.0,1.0,1.0,1.0
28,0.8,0.8,4,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.0,1.0,1.0,1.0,1.0
29,0.8,0.8,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,0.8,0.5,1,1.0,1.0,1.0,1.0,1.0,0.4166666666666667,0.0,0.0,0.75,0.75,0.75,0.75
