,p1,p2,seed,our_ilp_max_2_alt_alteration_recall,our_ilp_max_2_alt_alteration_precision,our_ilp_max_2_alt_pathway_accuracy,our_ilp_max_2_alt_dependency_accuracy,our_ilp_no_max_alt_alteration_recall,our_ilp_no_max_alt_alteration_precision,our_ilp_no_max_alt_pathway_accuracy,our_ilp_no_max_alt_dependency_accuracy,MASTRO_trajectory_accuracy,MASTRO_alteration_precision,MASTRO_alteration_recall,MASTRO_expanded_dependency_precision,MASTRO_expanded_dependency_recall,MASTRO_expanded_dependency_accuracy,PhyloPath_expanded_dependency_precision,PhyloPath_expanded_dependency_recall,PhyloPath_expanded_dependency_accuracy,our_ilp_max_2_alt_alteration_f1,our_ilp_no_max_alt_alteration_f1,MASTRO_alteration_f1,MASTRO_expanded_dependency_f1,PhyloPath_expanded_dependency_f1
0,0.5,0.5,1,1.0,0.8333333333333334,0.6666666666666666,0.0,0.8,0.2105263157894736,0.0,0.0,<NOT_DONE>,1.0,1.0,0.4,0.5,0.5,0.6,1.0,1.0,0.9090909090909091,0.3333333333333332,1.0,0.4444444444444445,0.7499999999999999
1,0.5,0.5,2,1.0,1.0,1.0,1.0,0.6,0.1428571428571428,0.0,0.0,<NOT_DONE>,1.0,0.8,0.25,0.25,0.25,1.0,1.0,1.0,1.0,0.2307692307692307,0.888888888888889,0.25,1.0
2,0.5,0.5,3,0.8,0.6666666666666666,0.3333333333333333,0.0,1.0,0.2777777777777778,0.0,0.0,<NOT_DONE>,0.7142857142857143,1.0,0.3333333333333333,0.75,0.75,0.5,0.8333333333333334,0.8333333333333334,0.7272727272727272,0.4347826086956522,0.8333333333333333,0.46153846153846156,0.625
3,0.5,0.5,4,1.0,1.0,1.0,1.0,1.0,0.238095238095238,0.0,0.0,<NOT_DONE>,0.45454545454545453,1.0,0.3,0.75,0.75,1.0,1.0,1.0,1.0,0.3846153846153845,0.625,0.4285714285714285,1.0
4,0.5,0.5,5,0.8,0.6666666666666666,0.3333333333333333,0.0,1.0,0.217391304347826,0.0,0.0,<NOT_DONE>,0.5714285714285714,0.8,0.4,0.5,0.5,0.5,0.8333333333333334,0.8333333333333334,0.7272727272727272,0.35714285714285704,0.6666666666666666,0.4444444444444445,0.625
5,0.5,0.5,6,1.0,0.8333333333333334,0.6666666666666666,0.0,0.8,0.1818181818181818,0.0,0.0,,1.0,1.0,0.5,0.5,0.5,0.6,1.0,1.0,0.9090909090909091,0.2962962962962963,1.0,0.5,0.7499999999999999
6,0.5,0.5,7,1.0,1.0,1.0,1.0,1.0,0.2941176470588235,0.0,0.0,,0.8333333333333334,1.0,0.2857142857142857,0.5,0.5,1.0,1.0,1.0,1.0,0.45454545454545453,0.9090909090909091,0.36363636363636365,1.0
7,0.5,0.5,8,1.0,1.0,1.0,1.0,0.8,0.1904761904761904,0.0,0.0,,0.8,0.8,0.2857142857142857,0.5,0.5,1.0,1.0,1.0,1.0,0.3076923076923076,0.8000000000000002,0.36363636363636365,1.0
8,0.5,0.5,9,1.0,1.0,1.0,1.0,1.0,0.3125,0.0,0.0,,0.7142857142857143,1.0,0.3333333333333333,0.75,0.75,1.0,1.0,1.0,1.0,0.47619047619047616,0.8333333333333333,0.46153846153846156,1.0
9,0.5,0.5,10,0.8,0.8,0.6666666666666666,0.5,0.6,0.1428571428571428,0.0,0.0,,0.7142857142857143,1.0,0.2,0.25,0.25,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8000000000000002,0.2307692307692307,0.8333333333333333,0.22222222222222224,0.8333333333333334
10,0.5,0.5,11,1.0,1.0,1.0,1.0,0.8,0.2,0.0,0.0,,0.8333333333333334,1.0,0.4,0.5,0.5,1.0,1.0,1.0,1.0,0.32000000000000006,0.9090909090909091,0.4444444444444445,1.0
11,0.5,0.5,12,0.8,0.8,0.6666666666666666,0.5,1.0,0.238095238095238,0.0,0.0,,0.6666666666666666,0.8,0.2857142857142857,0.5,0.5,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8000000000000002,0.3846153846153845,0.7272727272727272,0.36363636363636365,0.8333333333333334
12,0.5,0.5,13,1.0,1.0,1.0,1.0,0.8,0.2666666666666666,0.0,0.0,,0.6666666666666666,0.8,0.3333333333333333,0.5,0.5,1.0,1.0,1.0,1.0,0.3999999999999999,0.7272727272727272,0.4,1.0
13,0.5,0.5,14,1.0,1.0,1.0,1.0,0.6,0.1578947368421052,0.0,0.0,,0.7142857142857143,1.0,0.2857142857142857,0.5,0.5,1.0,1.0,1.0,1.0,0.24999999999999992,0.8333333333333333,0.36363636363636365,1.0
14,0.5,0.5,15,1.0,0.8333333333333334,0.6666666666666666,0.0,0.8,0.2222222222222222,0.0,0.0,,1.0,0.8,0.3333333333333333,0.25,0.25,0.6,1.0,1.0,0.9090909090909091,0.3478260869565218,0.888888888888889,0.28571428571428575,0.7499999999999999
15,0.5,0.5,16,1.0,0.8333333333333334,0.6666666666666666,0.0,1.0,0.2631578947368421,0.0,0.0,,0.625,1.0,0.3333333333333333,0.75,0.75,0.6,1.0,1.0,0.9090909090909091,0.4166666666666667,0.7692307692307693,0.46153846153846156,0.7499999999999999
16,0.5,0.5,17,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.0,,0.5,0.8,0.2,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.6153846153846154,0.28571428571428575,1.0
17,0.5,0.5,18,1.0,1.0,1.0,1.0,1.0,0.2777777777777778,0.0,0.0,,0.75,0.6,0.2,0.25,0.25,1.0,1.0,1.0,1.0,0.4347826086956522,0.6666666666666665,0.22222222222222224,1.0
18,0.5,0.5,19,1.0,1.0,1.0,1.0,1.0,0.25,0.0,0.0,,0.625,1.0,0.375,0.75,0.75,1.0,1.0,1.0,1.0,0.4,0.7692307692307693,0.5,1.0
19,0.5,0.5,20,1.0,1.0,1.0,1.0,0.8,0.2222222222222222,0.0,0.0,,0.7142857142857143,1.0,0.25,0.5,0.5,1.0,1.0,1.0,1.0,0.3478260869565218,0.8333333333333333,0.3333333333333333,1.0
20,0.5,0.8,1,1.0,1.0,1.0,1.0,1.0,0.4166666666666667,0.0,0.0,<NOT_DONE>,0.5,1.0,0.21428571428571427,0.75,0.75,1.0,1.0,1.0,1.0,0.5882352941176471,0.6666666666666666,0.3333333333333333,1.0
21,0.5,0.8,2,1.0,0.8333333333333334,0.6666666666666666,0.0,1.0,0.2941176470588235,0.0,0.0,<NOT_DONE>,0.7142857142857143,1.0,0.3076923076923077,1.0,1.0,0.6,1.0,1.0,0.9090909090909091,0.45454545454545453,0.8333333333333333,0.47058823529411764,0.7499999999999999
