num_stages,min_alt_freq,num_alt,max_alt_per_pathway,seed,num_strictly_consistent_patients,num_partially_consistent_patients,time_took_problem,time_took_other,avg_alterations_per_pathway,num_null_datasets,p1_value,effect_size
1,8,16,3,1,63,0,0.030922959034796804,11.421284415991977,3.0,1000,1.0,-0.5154567201390502
1,8,16,5,2,66,0,0.03656841698102653,11.685816333047114,5.0,1000,0.798,0.35854741769788423
1,8,16,None,3,66,0,0.061427041015122086,11.713229916989803,5.0,1000,0.798,0.3823015226144665
1,5,26,3,4,63,0,0.051171666011214256,11.781735834025312,3.0,1000,1.0,-0.46459370199190386
1,5,26,5,5,66,0,0.09792741702403873,11.995409291004762,5.0,1000,0.807,0.3407004855765364
1,5,26,None,6,71,0,0.12496308301342651,11.857805416977499,9.0,1000,0.786,0.5217898341700934
1,4,36,3,7,64,0,0.054994040983729064,11.265412959037349,3.0,1000,1.0,-0.6137477231953095
1,4,36,5,8,66,0,0.12796170799992979,11.97725504200207,5.0,1000,0.801,0.3705525011077668
1,4,36,None,9,72,0,0.2886222500237636,12.657178624998778,11.0,1000,0.758,0.5650320466312758
1,3,54,3,10,64,0,0.07206270901951939,11.922525166010018,3.0,1000,1.0,-0.4344715327116117
1,3,54,5,11,67,0,0.13871374999871477,11.730388374999166,5.0,1000,1.0,-0.39674602380792345
1,3,54,None,12,76,0,0.5398150839610025,12.949999082018621,12.0,1000,0.865,-0.2057796804180656
1,0,79,3,13,64,0,0.11533833300927654,11.91749833401991,3.0,1000,1.0,-0.43163849118473824
1,0,79,5,14,68,0,0.18243808299303055,11.85734687501099,5.0,1000,1.0,-0.6862045194247175
1,0,79,None,15,80,0,0.5584482499980368,11.889092416036874,18.0,1000,0.359,1.0009959628792076
2,8,16,3,16,33,19,0.19900391600094736,8.027921792003326,3.0,1000,0.096,1.3869490628183911
2,8,16,5,17,35,25,0.4859301659744233,9.751109751057811,3.5,1000,0.045,1.8521307463959438
2,8,16,None,18,37,18,0.3860332500189543,9.19392637501005,5.0,1000,0.054,1.7662677929213861
2,5,26,3,19,33,19,0.30134524998720735,8.05139716702979,3.0,1000,0.071,1.471920771566446
2,5,26,5,20,39,14,0.940873833023943,8.217797667020932,5.0,1000,0.356,0.578557377596814
2,5,26,None,21,40,12,11.090890082996339,8.44480537500931,5.5,1000,0.377,0.5898644721384789
2,4,36,3,22,34,20,0.49015887500718236,10.621481833048165,3.0,1000,0.083,1.5592378810738394
2,4,36,5,23,41,16,0.9584075839957222,8.613919499039184,5.0,1000,0.193,1.0821574638724054
2,4,36,None,24,45,18,11.73446404200513,10.510821332980413,7.0,1000,0.005,2.3119084553949896
2,3,54,3,25,34,20,0.4601140840095468,10.548075333004817,3.0,1000,0.07,1.6861454528033848
2,3,54,5,26,41,22,1.2646949170157313,9.70917816599831,5.0,1000,0.018,2.221361167597133
2,3,54,None,27,52,10,45.05948699999135,9.908968208008446,12.5,1000,0.003,2.562554532007449
2,0,79,3,28,34,20,0.5584844590048306,11.233362541010138,3.0,1000,0.068,1.6600112401432472
2,0,79,5,29,41,23,2.2187043330050074,10.268173333024606,5.0,1000,0.009,2.371685926531942
2,0,79,None,30,59,6,76.61822279100306,9.372327166958712,15.5,1000,0.02,2.2660274023800393
3,8,16,3,31,16,29,2.1338575829868205,7.672866042004898,3.0,1000,0.025,2.0440982555953973
3,8,16,5,32,20,18,5.660945125040598,6.955734082963318,3.6666666666666665,1000,0.001,2.9843077952001233
3,8,16,None,33,21,15,6.066077583003789,6.805059626000002,4.333333333333333,1000,0.009,2.6331030504159103
3,5,26,3,34,18,23,3.1765727499732748,6.496223249996547,3.0,1000,0.002,2.729483452864641
3,5,26,5,35,23,23,24.825756791979074,8.530682375014294,4.0,1000,0.0,3.4983542117309745
3,5,26,None,36,25,24,49.9046158749843,9.020938709028997,5.333333333333333,1000,0.0,3.896664585100746
3,4,36,3,37,19,34,5.222180374956224,9.72694391704863,3.0,1000,0.005,2.510768308259731
3,4,36,5,38,26,24,27.55901183397509,8.588213124021422,5.0,1000,0.0,3.6722790013500837
3,4,36,None,39,30,18,181.14814937498886,8.371323916013353,8.0,1000,0.0,3.378188962571596
3,3,54,3,40,20,33,5.384884500002954,7.637114125012886,3.0,1000,0.001,2.650517620092369
3,3,54,5,41,27,14,34.79213791602524,7.31491079198895,5.0,1000,0.0,3.1757548776638926
3,3,54,None,42,36,18,1791.2397069169674,8.577003999031149,10.0,1000,0.005,2.5500825435620755
3,0,79,3,43,20,33,6.358864457986783,7.6822542500449345,3.0,1000,0.002,2.5773225613539656
3,0,79,5,44,27,31,40.89488174999133,9.233667958003934,5.0,1000,0.001,3.207411091137766
3,0,79,None,45,43,22,2214.986463707988,9.451138208969496,14.333333333333334,1000,0.0,5.041999024229594
4,8,16,3,46,11,40,5.025621459004469,8.993895124003757,2.0,1000,0.002,3.5725062922987507
4,8,16,5,47,11,40,11.369303875020705,8.931545083934907,2.0,1000,0.001,3.5140023363188044
4,8,16,None,48,11,40,14.947535458020866,8.891175416996703,2.0,1000,0.002,3.6642882972762028
4,5,26,3,49,12,39,23.23543995898217,8.99722791602835,2.5,1000,0.0,3.5007858690704774
4,5,26,5,50,16,18,109.82670845795656,7.176263042027131,4.25,1000,0.0,3.2497376535534506
4,5,26,None,51,17,17,109.00640445796307,7.201688125031069,4.5,1000,0.0,3.910815485740752
4,4,36,3,52,13,38,39.66633254196495,9.104917416058015,3.0,1000,0.001,3.5657166825772904
4,4,36,5,53,19,25,211.65185625001322,7.098432375001721,5.0,1000,0.0,3.8252655122827894
4,4,36,None,54,20,23,1617.6800588750048,7.206091542029753,6.25,1000,0.0,4.357298079550163
4,3,54,3,55,14,40,46.29132008302258,9.29074591700919,3.0,1000,0.0,3.9112366730322687
4,3,54,5,56,20,27,541.362848083023,7.49369204195682,5.0,1000,0.0,3.984554680522464
4,3,54,None,57,27,17,10079.154481875012,7.548552083957475,9.5,1000,0.0,5.7206898252486615
4,0,79,3,58,14,40,65.63105737499427,9.935873540991452,3.0,1000,0.002,2.997887344441438
4,0,79,5,59,21,31,594.0882062909659,8.823345001030248,5.0,1000,0.0,4.683914648442525
4,0,79,None,60,33,20,14291.655526540999,15.427414959005546,12.75,1000,0.0,6.372302869389459
5,8,16,3,61,6,36,31.053056208009366,13.133403917017858,2.4,1000,0.0,3.566028131793354
5,8,16,5,62,8,29,8.15852320799604,13.234711374971084,2.6,1000,0.003,2.8845981654846757
5,8,16,None,63,8,29,11.333614083006978,13.202970375015866,2.6,1000,0.003,2.846054781569102
5,5,26,3,64,8,39,212.87253670801874,26.297451207996346,3.0,1000,0.0,3.6448872716679053
5,5,26,5,65,11,29,842.726436417026,45.96454824897228,3.6,1000,0.0,3.576386701407615
5,5,26,None,66,11,29,515.4563294159598,26.637380959058646,3.8,1000,0.0,3.5200194973168197
5,4,36,3,67,8,39,771.854281582986,8.768281416967511,3.0,1000,0.001,3.6356630861625128
5,4,36,5,68,13,25,956.5269959159777,6.669995834003203,4.4,1000,0.001,3.7531080001182393
5,4,36,None,69,14,27,2589.230861333024,9.034196041990072,4.8,1000,0.0,4.303442739341083
5,3,54,3,70,9,40,1012.3814944999758,8.94187033403432,3.0,1000,0.0,3.933783462318448
5,3,54,5,71,15,9,9723.151952249988,5.618797125003766,4.4,1000,0.0,4.762953789167918
